	16S001	16S002	16S003	16S004	16S005	16S006	16S007	16S009	16S010	16S011	16S012	16S013	16S015	16S017	16S018	16S019	16S020	16S021	16S022	16S023	16S024	16S025	16S026	16S027	16S028	16S029	16S030	16S031	16S033	16S034	16S037	16S039	16S040	16S044	16S045	16S046	16S047	16S048	16S049	16S051	16S053	16S054	16S055	16S056	16S057	16S058	16S059	16S060	16S061	16S062	16S063	16S064	16S065	16S066	16S068	16S069	16S070	16S072	16S073	16S074	16S075	16S076	16S077	16S078	16S079	16S080	16S081	16S083	16S084	16S085	16S086	16S087	16S088	16S089	16S090	16S091	16S093	16S094	16S095	16S097	16S098	16S099	16S100	16S101	16S102	16S104	16S105	16S106	16S109	16S110	16S111	16S112	16S113	16S114	16S115	16S116	16S117	16S118	16S119	16S120	16SExtNeg1	16SExtNeg2	16SExtNeg3	16SMock1	16SMock2	16SMock3	16SPCRNeg1	16SPCRNeg2	16SPCRNeg3	16SPCRNeg4	16S043	16S050
ASV_25	351	2404	3435	986	0	437	577	0	0	0	0	0	0	711	358	710	215	0	0	0	0	0	0	0	152	2084	1895	3307	0	1192	0	0	0	0	0	0	405	530	705	0	0	68	88	68	0	0	0	0	451	628	0	0	111	25	0	148	0	0	0	0	1069	1770	0	0	0	35	96	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	73	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	72
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	128	211	143	0	23	0	0	0	0	0	0	0	144	235	110	27	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	3357	2525	806	0	0	0	0	0	0	0	0	0	4179	2165	3006	0	0	0	0	0	0	0	3432	3996	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	5144	2932	1538	1929	0	40	292	0	0	0	0	0	0	424	785	2716	613	0	0	0	0	0	0	0	1511	656	1118	2767	6	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	129	45	49	0	0	0	0	0	81	0	0	0	145	29	0	0	0	0	276	0	0	0	168	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	25	54	139	0	0	65	0	0	2889	0	0	0	71	0	20	93	0	0	340	0	0	4879	0	0	189	151	28	0	90	5153	0	0	622	900	741	77	0	0	0	995	0	0	65	0	825	1021	609	0	0	0	0	122	0	397	0	0	0	761	648	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4771	8244	9070	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	487	47	0	0	0	0	0	0	55	112	0	0	0	344	30	0	0	0	0	0	0	153	0	0	0	0	0	0	0	236	0	3811	1576	822	0	0	0	0	0	0	0	906	748	522	212	4752	0	0	0	0	0	0	740	0	636	1797	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	54	0	0	0	0	0	0	0	45	46	0	0	0	0	0	0	0	0	0	0	0	0	0	1262
ASV_31	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	147	158	147	173	0	0	0	0	0	0	0	110	140	155	179	165	0	0	0	0	0	0	0	189	99	142	180	63	0	0	0	48	67	70	395	258	2636	294	174	58	0	0	0	48	62	197	0	6004	483	0	0	0	0	69	0	1460	3081	2457	289	347	0	0	0	0	0	0	0	0	0	0	0	168
ASV_32	0	0	0	0	0	0	0	207	139	44	161	0	0	0	0	0	0	0	0	0	406	0	333	0	12	27	0	0	0	0	231	16	10	0	0	0	0	0	0	682	1390	882	837	608	0	0	0	0	0	0	0	1038	1374	1158	820	747	0	0	0	0	0	0	691	976	946	2226	2972	0	0	0	0	0	0	0	70	28	387	42	26	0	0	0	0	0	0	45	0	0	195	0	0	0	0	0	0	202	70	59	36	80	0	0	0	0	0	0	0	0	0	0	0	298
ASV_33	419	1468	2226	916	0	413	529	0	0	0	0	0	0	462	614	620	266	0	0	0	0	0	0	0	260	1635	1420	2636	0	1337	0	0	0	0	0	0	292	306	395	0	0	0	0	0	0	0	0	0	272	347	0	0	0	0	0	0	0	0	0	0	422	1091	0	0	0	0	0	0	0	0	0	71	107	166	0	0	0	0	0	93	0	0	0	0	136	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0
ASV_34	23	58	103	146	0	12	33	0	0	2570	0	0	0	84	111	50	81	0	0	225	0	0	5286	0	0	155	225	82	0	151	4816	0	0	237	423	311	33	0	0	0	805	0	0	57	0	342	376	283	0	11	0	0	77	0	384	0	0	0	214	206	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
