	ITS001	ITS002	ITS003	ITS004	ITS005	ITS006	ITS007	ITS008	ITS009	ITS010	ITS011	ITS012	ITS013	ITS014	ITS015	ITS016	ITS017	ITS018	ITS019	ITS020	ITS021	ITS022	ITS023	ITS026	ITS027	ITS028	ITS029	ITS030	ITS031	ITS033	ITS034	ITS037	ITS039	ITS040	ITS043	ITS044	ITS045	ITS046	ITS047	ITS048	ITS049	ITS050	ITS051	ITS052	ITS053	ITS054	ITS055	ITS056	ITS057	ITS058	ITS059	ITS060	ITS061	ITS062	ITS063	ITS064	ITS065	ITS066	ITS067	ITS068	ITS069	ITS070	ITS072	ITS073	ITS074	ITS075	ITS076	ITS077	ITS078	ITS079	ITS080	ITS081	ITS083	ITS084	ITS085	ITS086	ITS087	ITS088	ITS089	ITS090	ITS091	ITS092	ITS093	ITS094	ITS095	ITS097	ITS098	ITS099	ITS100	ITS101	ITS102	ITS103	ITS104	ITS105	ITS106	ITS107	ITS109	ITS110	ITS111	ITS112	ITS113	ITS114	ITS115	ITS116	ITS117	ITS118	ITS119	ITS120	ITSExtNeg1	ITSExtNeg2	ITSExtNeg3	ITSMock1	ITSMock2	ITSMock3	ITSPCRNeg1	ITSPCRNeg2	ITSPCRNeg3
ASV_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17969	216	0	0	0	0	0	0	0	0	0	22	2897	5405	0	0	0	0	0	0	0	10	7	0	0	0	0	5	0	16	0	0	0	0	0	6	0	0	0	11	0	0	0	0	0	0	0	0	10	12	6	0	0	0	0	0	0	0	0	99	0	0	0	31	119	0	0	0	0	0	0	0	114	47	14	0	16	0	0	0	0	0	0	37	40	33	204	255	0	0	3225	0	0	0	0	0	0
ASV_22	0	0	50	0	35	36	30	0	0	0	0	0	77	304	34	0	0	0	61	73	0	0	109	0	0	321	0	0	0	0	0	224	144	0	0	294	0	338	0	0	0	641	246	536	1165	744	478	569	0	1240	490	295	0	0	435	610	914	0	1615	139	83	0	108	602	537	0	0	0	405	573	759	1197	0	229	331	0	265	0	112	373	0	439	449	288	424	119	261	265	557	0	62	2069	408	0	433	605	212	0	0	263	0	111	0	316	379	315	389	521	0	0	0	0	0	0	0	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1502	0	0	0	647	990	0	3	0	0	0	0	5727	1174	455	0	0	10913	0	0	0	0	0	448	349	402	385	1002	1047	0	1140	0	0	0	0	0	0	0
ASV_24	0	0	7	0	0	0	0	29	1181	722	0	0	276	654	0	0	0	0	0	0	0	234	1306	0	0	0	0	0	0	0	0	295	475	796	22	298	267	199	0	47	33	982	271	0	0	1203	931	1248	9	103	305	224	0	0	0	1713	2151	0	233	248	0	26	0	63	116	21	21	0	542	569	1721	1624	0	0	0	0	0	0	0	383	0	203	161	431	183	0	0	0	0	0	0	0	328	0	199	0	0	0	0	0	0	0	85	0	0	0	0	383	0	0	0	0	0	0	0	0	0
ASV_25	759	511	617	554	162	613	462	136	0	0	0	1591	82	32	0	329	0	549	821	261	302	0	0	0	1161	0	0	0	479	0	0	0	0	0	0	43	0	46	0	0	0	82	64	65	0	68	75	80	0	91	11	0	0	0	25	110	180	0	151	72	18	0	0	0	0	0	0	0	0	0	176	172	0	711	367	114	432	0	0	267	81	588	475	198	478	0	872	557	551	212	0	0	492	174	691	472	0	0	0	471	886	215	0	419	566	454	549	837	0	0	0	0	0	0	0	0	0
ASV_26	0	0	31	0	0	0	0	0	1232	305	2950	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	827	0	0	0	1362	741	1056	0	273	0	0	0	0	0	0	0	0	158	1701	2242	928	996	1004	0	7	30	0	0	0	0	1018	0	1727	1490	1147	976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	64	16	18	0	0	0	0	0	0	0	28	0	0	79	0	0	0	0	0	0	0	0	49	37	13	0	0	0	0	0	0	0	0	0	0
ASV_27	211	23	27	50	30	0	17	0	0	0	0	24	0	0	11951	0	0	23	101	0	35	0	0	0	183	5877	0	0	0	0	0	0	35	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	441	26	44	13	0	0	0	0	0	1320	0	0	0	168	72	0	7	0	0	0	0	172	0	0	0	115	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	473	987	0	0	0	0	0	0	302	186	1487	0	0	0	0	0	0	0	0	0	0	321	0	0	87	0	0	0	0	619	278	342	441	470	357	531	0	548	0	0	0	0	575	609	601	0	974	266	0	0	0	0	0	0	0	0	400	475	745	1168	0	0	0	0	0	0	0	231	0	377	331	0	426	0	0	0	0	0	0	2025	388	0	411	358	235	0	0	0	0	0	0	370	325	267	587	484	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	585	1490	927	948	1371	686	0	0	0	0	0	0	0	490	648	878	1122	1258	0	0	0	0	0	0	0	0	0	0	378	334	674	536	0	0	0	0	0	0	0	0	0	650	1186	803	0	0	0	0	0	0	0	0	0	0	1086	379	0	0	0	0	0	0	0	0	0	0	1168	737	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	125	0	1074	571	239	91	824	1541	1240	0	0	243	0	0	0	0	1273	1178	0	491	761	0	0	0	0	0	0	0	293	494	1266	905	1158	0	0	0	0	0	0	0	542	0	456	403	668	333	0	0	0	0	0	0	0	0	0	715	414	0	0	0	0	0	0	0	313	340	0	172	288	0	0	0	0	0	0	0	0	0
