ID,Beverage,Treatment,Day,SPC,APDA,Trial ,Sample_or_Control,Shelf_Life_Stage,Spoilage,citric,tartaric,malic,lactic,acetic,glucose,fructose,EtOH,Brix,pH
ITS058,Orange Juice,Pasteurization,14,2,2.301029996,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS059,Orange Juice,Pasteurization + SB + PS,14,2,0.301029996,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS060,Orange Juice,Pasteurization + DMDC + NG,14,2,0,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS061,Orange Juice,HPP,14,0,0,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS062,Orange Juice,HPP + DMDC + NG,14,0,0,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS063,Cider,No Treatment,14,3.361727836,5.320146286,2,True Sample,End,Spoiled,0.1,0,0.9,0,0,4.2,10.8,0.3,2.4,4.06
ITS064,Cider,HPP,14,2,0.301029996,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS065,Cider,HPP + DMDC + NG,14,2.301029996,0,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS066,Cider,Pasteurization,14,1.77815125,2.40654018,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS067,Cider,Pasteurization + SB + PS,14,1.77815125,2.397940009,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS068,Cider,Pasteurization + DMDC + NG,14,1,0,2,True Sample,Day14,Not spoiled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITS069,Cider,UV,14,3.361727836,5.320146286,2,True Sample,End,Spoiled,0.1,0,1.6,0.1,0,10.3,24.4,0.3,6.5,3.96
ITS070,Orange Juice,UV,14,6.096910013,6.176091259,2,True Sample,End,Spoiled,8.1,0.7,2.7,0,0.2,42.2,42.8,0.2,11.1,3.87
ITS072,Orange Juice,Pasteurization,56,5.049218023,6.367,2,True Sample,End,Spoiled,5.3,0.4,1.8,0,0.2,30.8,30.4,0.1,10.3,3.82
ITS073,Orange Juice,Pasteurization + SB + PS,147,3,3,2,True Sample,End,Not spoiled,7.9,0.6,2.5,0,0.2,46.5,46,0.1,12,3.85
ITS074,Orange Juice,Pasteurization + DMDC + NG,147,0,0,2,True Sample,End,Not spoiled,7.4,0.6,2.3,0,0.2,43.4,43.2,0.1,10.3,3.81
ITS075,Orange Juice,HPP,126,0,0,2,True Sample,End,Not spoiled,7.8,0.6,2.7,0,0.2,38.4,40.2,0.2,10.4,3.93
ITS076,Orange Juice,HPP + DMDC + NG,126,0,0,2,True Sample,End,Not spoiled,6.6,0.5,2.3,0,0.1,32.4,33.9,0.2,10.3,3.92
ITS077,Cider,Pasteurization,147,4.72916479,3.602059991,2,True Sample,End,Not spoiled,0.1,0,3.1,0,0.1,22.7,54.6,0.2,8.8,3.88
ITS078,Cider,Pasteurization + SB + PS,147,0.77815125,1.77815125,2,True Sample,End,Not spoiled,0.1,0,4.1,0,0,32.7,73.8,0,10.8,3.9
ITS079,Cider,Pasteurization + DMDC + NG,147,1.857332496,0,2,True Sample,End,Not spoiled,0,0,1.8,0,0,14.2,32,0,8.7,3.81
ITS080,Cider,HPP,126,1.806179974,0,2,True Sample,End,Not spoiled,0.1,0,2.6,0,0,20.7,46.8,0,12.7,3.8
ITS081,Cider,HPP + DMDC + NG,126,0,0,2,True Sample,End,Not spoiled,0,0,1.5,0,0,12.1,27.3,0,11.2,3.8
ITS083,Orange Juice,No Treatment,0,3.531478917,3.431363764,3,True Sample,Beginning,Not spoiled,9.3,0.5,2.2,0,0.1,33.1,32.6,0.1,10.1,3.6
ITS084,Orange Juice,Pasteurization,0,0,0,3,True Sample,Beginning,Not spoiled,5.9,0.5,1.6,0,0.1,31.6,31.1,0.1,11.4,3.73
ITS085,Orange Juice,Pasteurization + SB + PS,0,1.204119983,0,3,True Sample,Beginning,Not spoiled,8.6,0.7,2.4,0.2,0.1,46.5,46.1,0.1,12.8,3.74
ITS086,Orange Juice,Pasteurization + DMDC + NG,0,0.903089987,0,3,True Sample,Beginning,Not spoiled,9.1,0.7,2.4,0.2,0.1,48.9,48.6,0.1,12.6,3.69
ITS087,Orange Juice,UV,0,1.505149978,2.204119983,3,True Sample,Beginning,Not spoiled,8.6,0,2,0,0.1,30.3,29.9,0.1,11.2,3.6
ITS088,Orange Juice,HPP,0,1.380211242,0,3,True Sample,Beginning,Not spoiled,6.4,0,1.5,0,0.1,22.9,22.6,0.1,10.5,3.62
ITS089,Orange Juice,HPP + DMDC + NG,0,0,0,3,True Sample,Beginning,Not spoiled,6.5,0,1.5,0,0.1,22.8,22.5,0.1,10.6,3.61
ITS090,Cider,No Treatment,0,3.785329835,3.698970004,3,True Sample,Beginning,Not spoiled,0.1,0,3.4,0,0,18.9,53.3,0,12,3.49
ITS091,Cider,Pasteurization,0,1.505149978,0,3,True Sample,Beginning,Not spoiled,0.1,0,3.4,0,0,22.7,55.2,0,10.8,3.55
ITS092,Cider,Pasteurization + SB + PS,0,1.602059991,0,3,True Sample,Beginning,Not spoiled,0.1,0,3.1,0,0,20.4,49.2,0,10.9,3.63
ITS093,Cider,Pasteurization + DMDC + NG,0,0.903089987,0,3,True Sample,Beginning,Not spoiled,0.1,0,2.7,0,0,17.7,42.8,0,11.1,3.56
ITS094,Cider,UV,0,2.766412847,3.397940009,3,True Sample,Beginning,Not spoiled,0.1,0,3.9,0,0,21.7,61.4,0,11.9,3.48
ITS095,Cider,HPP,0,0.903089987,3.698970004,3,True Sample,Beginning,Not spoiled,0.1,0,3.1,0,0,17.2,48.5,0,10.5,3.48
ITS097,Orange Juice,No Treatment,14,5.369215857,6.170261715,3,True Sample,End,Spoiled,10.9,0.3,2.2,0,0.1,37.8,39.9,0.1,9.9,3.6
ITS098,Orange Juice,Pasteurization,14,0.301029996,0.954242509,3,True Sample,Day14,Not spoiled,8.6,0.5,2,0.2,0.1,47,49.1,0.1,11.6,3.7
ITS099,Orange Juice,Pasteurization + SB + PS,14,0,0,3,True Sample,Day14,Not spoiled,9.7,0.5,2.3,0.3,0.1,52.5,54.8,0.1,12.8,3.71
ITS100,Orange Juice,Pasteurization + DMDC + NG,14,0.602059991,0,3,True Sample,Day14,Not spoiled,9.2,0.5,2.1,0.3,0.1,50.5,52.2,0.1,12.9,3.68
ITS101,Orange Juice,HPP,14,0.954242509,0,3,True Sample,Day14,Not spoiled,11.7,0.4,2.4,0,0.1,38.9,41.3,0.1,10.6,3.59
ITS102,Orange Juice,HPP + DMDC + NG,14,0.903089987,0,3,True Sample,Day14,Not spoiled,11,0.4,2.4,0,0.1,39.6,41.7,0.1,10.5,3.6
ITS103,Cider,No Treatment,14,4.176091259,4.770852012,3,True Sample,End,Not spoiled,0,0,5.2,0.7,0.1,27.3,76.6,0.2,11.8,3.52
ITS104,Cider,HPP,14,1.041392685,0,3,True Sample,Day14,Not spoiled,0,0,4.2,0,0,22.9,66,0,9.6,3.53
ITS105,Cider,HPP + DMDC + NG,14,0.84509804,0,3,True Sample,Day14,Not spoiled,0,0,4.6,0,0,25,71.2,0,10.4,3.54
ITS106,Cider,Pasteurization,14,1.230448921,0,3,True Sample,Day14,Not spoiled,0,0,4.5,0,0,28.6,71.6,0,10.9,3.62
ITS107,Cider,Pasteurization + SB + PS,14,1.230448921,0,3,True Sample,Day14,Not spoiled,0,0,4.4,0,0,28.1,70.5,0,10.7,3.74
ITS109,Cider,UV,14,3.633468456,5.093421685,3,True Sample,End,Spoiled,0,0,5.3,0,0,27.3,76.6,0.2,11.6,3.53
